http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=100139_1	BEANS, canned
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=202_1	BEANS, dried
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8705_2	BEEF MEAT, PRESSED (canned)
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1904_2	BEEF TALLOW
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8661_2	BEEF, 15-18 MONTHS, "copertina di sotto, copertina di spalla, sottospalla", neck, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8662_2	BEEF, 15-18 MONTHS, "geretto anteriore e posteriore", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8656_2	BEEF, 15-18 MONTHS, "girello", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8657_2	BEEF, 15-18 MONTHS, "lombata", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8658_2	BEEF, 15-18 MONTHS, "noce", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8659_2	BEEF, 15-18 MONTHS, "scamone", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8660_2	BEEF, 15-18 MONTHS, "sottofesa", without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=8800_2	BEEF, 15-18 MONTHS, BACK CUTS, without visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1004_2	BEEF, 15-18 MONTHS, FAT AND LEAN MEAT, with visible fat
http://www.bda-ieo.it/test/ComponentiAlimento.aspx?Lan=Eng&foodid=1005_2	BEEF, 15-18 MONTHS, FAT MEAT, with visible fat
